tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000115170	4.02933	3.66239	3.3906	4.32089	4.78355	4.63547	5.4366	3.45981	13.3158	13.8559
ENSG00000115183	3.94656	3.13932	2.01676	2.04649	2.56929	3.44992	10.5751	12.4526	31.3907	28.6654
ENSG00000115194	2.30221	2.68555	0.289335	0.127893	24.8259	17.0516	18.481	27.0984	15.7888	7.3076
ENSG00000115204	37.9393	34.5512	46.9958	49.8706	32.8341	35.0173	25.0829	26.0322	34.469	34.6399
ENSG00000115207	48.3651	54.8548	37.6941	31.3546	32.3458	36.208	24.564	22.0902	17.5489	20.7153
ENSG00000115211	24.3558	32.1311	28.5516	29.4154	19.9767	18.2416	28.7067	31.3	19.0192	17.1644
ENSG00000115216	45.2441	52.7309	56.9698	59.3478	42.3212	37.3194	55.9989	52.2277	36.7593	35.6065
ENSG00000115221	0.107517	0.117183	0	0.109328	1.03694	0.517567	5.26311	3.59922	1.24386	2.19381
ENSG00000115226	4.17569	4.43391	5.77155	8.48212	6.64708	5.8485	16.6664	20.5907	7.31866	6.96095
ENSG00000115232	1.74837	1.07875	2.2744	1.8516	0.127489	0.24551	0.180256	0.259801	4.05199	14.1032
ENSG00000115233	67.8011	85.9053	59.2365	53.5904	42.6081	38.3551	46.2125	56.9609	30.2322	27.5669
ENSG00000115234	31.176	35.6731	46.9235	56.0284	42.627	36.2974	59.4082	57.4228	50.0117	45.8573
ENSG00000115239	21.462	19.5225	28.3263	31.1275	26.5249	24.7795	23.953	24.6932	15.0166	15.0301
ENSG00000115241	89.5194	107.418	58.3824	52.6677	50.1894	47.5226	42.8246	46.5492	32.4186	27.4224
ENSG00000115252	0.0683344	0.127502	0	0.00769517	0.0849725	0.0987549	0.550714	0.42714	3.96269	3.84647
ENSG00000115255	6.22549	4.86205	5.53793	6.8573	5.69711	4.61116	27.3216	37.5829	0.902088	0.935328
ENSG00000115257	3.23259	2.80175	3.30712	5.30979	4.62282	3.48708	1.94502	4.33967	0.815151	1.41832
ENSG00000115263	0	0	0	0	0	0	0	0	0	0
ENSG00000115266	0.319779	0.138149	0.0349222	0.0679663	0.0204624	0.0354547	0.263627	0.133614	0.285663	1.19176
ENSG00000115267	0.749415	0.595117	0.0556495	0.0161395	0.0349503	0.0404958	0.120695	0.0605082	1.38487	1.52287
ENSG00000115268	1031.39	1030.74	1102.92	1023.18	1124.77	1112.13	549.151	635.235	824.233	625.753
ENSG00000115271	32.3498	29.7409	24.4964	17.0668	20.4795	15.9458	19.4824	24.2543	13.9657	11.2592
ENSG00000115274	4.70627	6.07528	9.11805	9.62851	11.4638	9.24537	7.22428	6.4417	10.0067	7.13433
ENSG00000115275	29.9229	33.6865	27.9675	26.2925	33.936	33.1681	22.812	21.1536	17.0143	20.2726
ENSG00000115282	10.107	9.44515	14.7767	15.9023	12.1241	12.1622	4.66088	6.45465	11.0037	10.4446
ENSG00000115286	52.3453	58.1236	43.1502	45.0501	43.1854	34.6396	100.871	107.428	115.137	77.1774
ENSG00000115289	8.31084	4.46333	10.3642	11.1329	5.27516	5.1295	5.69799	4.90971	4.30708	5.74698
ENSG00000115290	10.5848	11.6135	3.77376	2.18532	8.99636	12.3747	6.76461	4.21764	2.33144	3.27933
ENSG00000115295	0.2874	0.289928	0.485951	0.310378	1.81528	2.15962	4.01862	4.82736	6.8258	9.00033
ENSG00000115297	0.0990607	0.129466	0.117261	0.0316841	0.0946421	0.0987581	0.0348772	0	0.0826442	0.680008
