"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DIO2",1283.64054828669,-1.87341903440243,0.305760589160125,-6.12707818083557,8.95074976792062e-10,1.32910782518737e-07
"SMARCD2",3067.22259563527,-1.43168574746771,0.235144389996815,-6.08853882283603,1.13945824947853e-09,1.67728254323239e-07
"ABHD5",1556.74358551307,-1.32885615438954,0.218684815097074,-6.07658174071052,1.22771435477315e-09,1.79161625841379e-07
"CHDH",131.344486105438,2.74776883348608,0.453138750535603,6.06385754967602,1.32894869371429e-09,1.92277294762354e-07
"ANGPTL1",414.034440694689,-2.172426873851,0.360872001860432,-6.0199374366848,1.74484498558379e-09,2.50311321321715e-07
"CLDN11",6410.55706542165,1.54857373595165,0.258038623634881,6.00132536027957,1.95713369441229e-09,2.73804621314143e-07
"GALNT15",18933.161178392,-1.51043483523912,0.251628206713422,-6.00264515241468,1.94128578222689e-09,2.73804621314143e-07
"GDF5",561.213322192287,1.65260840265827,0.275349611061794,6.00185486475008,1.95076038234008e-09,2.73804621314143e-07
"SYNPO2",14025.9292201572,-1.58238615434998,0.26417405125605,-5.98993787174145,2.09921213741967e-09,2.91274287395412e-07
"GFPT2",1398.38898509373,-1.51393386323588,0.252864022079296,-5.98714617756544,2.13554841620765e-09,2.93907021053359e-07
"SAP30",494.197154734214,-1.52272838537057,0.254742468591787,-5.977520724315,2.2655911330282e-09,3.09289731450818e-07
"TST",527.109469998968,-1.405222339525,0.235478600902306,-5.96751608910736,2.40892541277096e-09,3.26226315099095e-07
"FER1L6",123.168317582354,3.09772899573837,0.522856757793505,5.92462266111089,3.13015295982934e-09,4.17222277984182e-07
"PTX3",15033.6969698172,-2.01088164666288,0.339373850935479,-5.92526984951821,3.11784971309261e-09,4.17222277984182e-07
"ATP2A2",14791.7774945591,-1.13485323777329,0.19165056779999,-5.92147078300152,3.19074998828995e-09,4.18705548850948e-07
"PPTC7",967.719805664964,-1.39174984351436,0.235014891520693,-5.92196449556397,3.18118314647539e-09,4.18705548850948e-07
"ANXA4",5581.12584575441,-1.26345913842345,0.213709583306042,-5.91203781729396,3.37900931062147e-09,4.3999899700154e-07
"NOV",687.211115288772,2.51046737755488,0.427197450772359,5.87659728075634,4.18785346301945e-09,5.41160178793841e-07
"COL4A1",1959.27440323595,-1.42642140484443,0.243035022314477,-5.86920103637863,4.37900202020789e-09,5.61573834833933e-07
"QPCT",388.17022794303,-1.57193814266405,0.268327685058453,-5.85827788258831,4.67691605036486e-09,5.95269435342679e-07
"IRF4",383.868174543785,-1.76650452632307,0.30239344649516,-5.84174209724927,5.16577370668805e-09,6.5258371124489e-07
"AOX1",3771.95754333404,-1.66103623140285,0.284529239339892,-5.83784019968018,5.28818396127634e-09,6.63099097011007e-07
"NEDD4L",1413.91708583598,1.39887835132556,0.239789346295485,5.83378024477268,5.41854770601089e-09,6.7444982034818e-07
"OMD",479.020655736571,-1.90770687777884,0.327721779074738,-5.82111717800659,5.84555669807949e-09,7.2228893273788e-07
"PHGDH",1648.19188846543,1.3766168128311,0.237553681692997,5.79497149031843,6.83327882106925e-09,8.38215535384494e-07
"ZRANB1",3227.99865238082,-1.07427745255475,0.185441699660816,-5.7930738044338,6.91097183486542e-09,8.41646987198574e-07
"DNM1",962.035324441724,1.76155820232901,0.304388110008296,5.78721094684347,7.15646861475696e-09,8.65319290790041e-07
"ABAT",758.407724156601,-1.23074088278885,0.213284839258312,-5.77040959436539,7.907908180817e-09,9.49397657339505e-07
"C1QTNF1",1412.54626814932,-1.34819368364718,0.233871409360476,-5.76467934808204,8.18132365566845e-09,9.75305963684194e-07
"NAMPTL",2024.15202220542,-1.09917904003772,0.190806292840364,-5.76070644041777,8.37626119687779e-09,9.9156188490033e-07
"IMPA2",790.312671610106,-2.25485926640001,0.392897246964791,-5.73905590792311,9.52057892789371e-09,1.11919694507906e-06
"CORO2B",812.394012871371,1.29946139766297,0.226519032979803,5.7366543577768,9.65650427491537e-09,1.12734692666046e-06
"CCL11",280.228374681336,1.99263865266837,0.348102269898181,5.72429089086726,1.03866651668569e-08,1.20428402701749e-06
"QPRT",1581.49281893458,1.17976635280033,0.206595059649693,5.71052548304283,1.126278706842e-08,1.29698271764772e-06
"RHOB",6607.67947297683,-1.18114532479887,0.207189860067411,-5.70078730887011,1.19255354161872e-08,1.36313636476843e-06
"SAT1",5940.54196392453,-1.41639121461305,0.248500573883961,-5.6997502761279,1.19983056681531e-08,1.36313636476843e-06
"TENM4",1071.42430743412,1.9395214382269,0.340488768988174,5.69628608893781,1.22445348270228e-08,1.38183657034561e-06
"FSTL3",2826.05683881177,-1.87088629743109,0.328689199998489,-5.69196157780568,1.25588118877471e-08,1.40791766646214e-06
"NKD1",136.01880871774,-2.62788434209477,0.461932586814617,-5.68889144672834,1.27866715948588e-08,1.42403142603795e-06
"SLC5A6",582.462951010427,-1.32406331090711,0.232930151589098,-5.68437920927828,1.31288675467505e-08,1.44315240150255e-06
"WARS",3774.98928389968,1.19986099073454,0.211079730245811,5.68439702541432,1.31274990818006e-08,1.44315240150255e-06
"TUBA4A",349.095777123898,1.79910408075183,0.316927816597786,5.67669982415926,1.37318126763811e-08,1.49969112894052e-06
"ORMDL1",3160.41199775762,-1.12225641734281,0.197828038322667,-5.67288856957859,1.40409566808933e-08,1.52362381214206e-06
"CFLAR",4051.53147765011,-1.18789481535809,0.209599090855917,-5.66746167889953,1.44928454625975e-08,1.56264259866783e-06
"EGR1",931.800748891846,1.55815543756424,0.275100190143586,5.66395623627513,1.4792214846301e-08,1.5815551062609e-06
"UGP2",4498.82230553173,-1.07725029460128,0.190218403238845,-5.66322856389794,1.48551076261509e-08,1.5815551062609e-06
"ZHX3",5760.70211129384,-1.08853198972177,0.192275427042033,-5.66131619868309,1.50216343442864e-08,1.58928891362551e-06
"APBB2",3794.51379252515,-1.124651783126,0.199475838949483,-5.63803510765443,1.72001447542663e-08,1.80847236273429e-06
"FAM171B",2112.96790073546,1.16335110032058,0.206785754003765,5.62587643392203,1.84568435976496e-08,1.92862622482107e-06
"NR3C1",4898.31180060256,1.08302196586452,0.192694020269138,5.62042332373288,1.90490121228746e-08,1.9782924982578e-06
"MFAP4",43094.817547508,1.00394730717686,0.179022813657761,5.60792944018915,2.04761467501119e-08,2.11353787918228e-06
"OMG",517.623769802461,1.41476905566875,0.252557506653817,5.60176996682182,2.12174010452556e-08,2.17677675693386e-06
"TMEM200A",1430.58865895627,1.16526721019733,0.208721912051597,5.58286956430942,2.36582180117574e-08,2.41256815965681e-06
"USP33",3590.81854501413,-1.0192257922121,0.182679431039588,-5.57931337103423,2.41469870450995e-08,2.44766584849967e-06
"RTKN2",158.034236326666,2.03139293193697,0.36458394566378,5.57181125526115,2.5210446563057e-08,2.54025261559184e-06
"CDON",520.238427130106,1.822223739395,0.32775744700353,5.55967150725144,2.70282879437209e-08,2.70730685391306e-06
"ABCA6",2410.92302139993,-1.14061887826313,0.205459789937131,-5.55154309566921,2.83158888230602e-08,2.81959627056919e-06
"ARSI",328.947350744688,1.70482112476756,0.30735651816767,5.5467218815823,2.91075182856425e-08,2.88147409087343e-06
"CTPS1",763.386536362414,-1.72086870418465,0.310990028177206,-5.53351731009226,3.13871991026515e-08,3.08908433959119e-06
"FAM46A",923.056111250489,1.28458754705016,0.232287404816426,5.53016444462563,3.19930730439706e-08,3.13051295079962e-06
"GPR37",367.023470023775,-1.38392296190522,0.253143194299355,-5.46695701512187,4.57827019454057e-08,4.45407803753924e-06
"IGSF10",11934.0506260686,1.26909863377531,0.232411202335776,5.46057427964158,4.74596867484447e-08,4.59084329872956e-06
"GLI2",543.612813504061,1.270745029162,0.232999387785599,5.4538556570428,4.928921636717e-08,4.73926903338211e-06
"SMTNL2",112.717446449212,3.16070329898573,0.579636781900364,5.45290326232098,4.95540299449808e-08,4.73926903338211e-06
"MFGE8",11533.6709959827,-1.1993685426176,0.220331568857657,-5.44347116863876,5.2252194246092e-08,4.96924238313396e-06
"SAMD4A",4898.53346643627,-1.17791106066322,0.216723072209533,-5.43509765090625,5.47664311674766e-08,5.17925221677678e-06
"RP11-357D18.1",59.7971955837428,-8.16104467901081,1.50243121233129,-5.43189239682228,5.57595436880932e-08,5.22059591976016e-06
"ST8SIA1",366.178510634221,1.61419691466879,0.297180915654346,5.43169776267289,5.58204076959233e-08,5.22059591976016e-06
"NCKAP5",159.140333254265,2.5540900198371,0.470946766663459,5.4233093857554,5.85055995017414e-08,5.4416636723378e-06
"GDNF",313.544659136401,-1.92440110390417,0.356812757874247,-5.39330800661112,6.91722305288088e-08,6.36384520865041e-06
"STEAP4",803.886895454192,-6.04237825916388,1.12059067004361,-5.39213686200755,6.96247044037904e-08,6.37084862782359e-06
"RGL1",1457.28303502336,1.23164102106408,0.228760093788591,5.38398546995833,7.28543873123703e-08,6.63053262593444e-06
"TNFRSF19",2216.06383320991,1.10870170882716,0.206307290051697,5.37403069251379,7.69957428318508e-08,6.96996756501375e-06
"FZD5",94.7116203499283,-2.69595695464508,0.501781407358183,-5.37277171914152,7.75354640106555e-08,6.98149114240625e-06
"CIDEC",31.2097487820494,-4.84423597576437,0.904520400255971,-5.35558509724434,8.5279997957728e-08,7.63820002872179e-06
"HPS5",1272.32100857173,-1.63896597587136,0.306147527157929,-5.35351695010059,8.62609506064744e-08,7.68539669403367e-06
"MORF4L2",8247.82714620369,-1.03919476750343,0.194996547599291,-5.32929828911092,9.85929529055797e-08,8.69261201450861e-06
"RAP2B",1104.44958831597,1.17792477140976,0.220998255351172,5.33001841819072,9.82028068433252e-08,8.69261201450861e-06
"TRIM45",231.72420139049,1.89503861630209,0.355747538342598,5.32691982952557,9.98922268864913e-08,8.761531692925e-06
"RAI2",2024.82864502198,-1.49278692144408,0.280417339907327,-5.32344726591239,1.01818979798697e-07,8.8844932475894e-06
"SLC7A14",312.075793611774,2.94378991892562,0.554912188324271,5.3049653276049,1.12694414411685e-07,9.78303101108211e-06
"ULK2",1904.80484352443,-1.28621846821806,0.243736823567693,-5.27707897965955,1.31259324423768e-07,1.13365196114568e-05
"CEBPD",3546.15087068544,-1.37419999229884,0.260718240260117,-5.27082413155217,1.35812556243491e-07,1.1670228183197e-05
"ANPEP",5271.65476486991,-1.2034523890016,0.229013933174406,-5.25493087831085,1.48080075452966e-07,1.26600985720596e-05
"ARHGEF2",2860.99114389689,1.04574827356068,0.199081482692419,5.25286560767865,1.49750807420072e-07,1.27386013467687e-05
"RP11-366L20.2",340.092070246717,-2.42398190313696,0.461884662625963,-5.24802423478591,1.53739077415547e-07,1.30124755124519e-05
"TUBA1A",9062.2126705094,1.39597867148136,0.26608850318027,5.24629457791947,1.55188702036247e-07,1.30698226272119e-05
"AXIN2",522.938392304201,-1.33101105017543,0.254423743707882,-5.23147341037336,1.68164227043985e-07,1.40924952247553e-05
"AKR1C1",7959.75246297683,-1.28934810591238,0.247218826420994,-5.21541229112026,1.83408829280927e-07,1.52193365787624e-05
"NEK10",145.162641919076,2.19162666584107,0.420495148215758,5.21201415792921,1.86801288963598e-07,1.54252303393941e-05
"HSD17B6",348.376935727378,2.27172068161445,0.436493239391604,5.20448079512259,1.94539740629439e-07,1.59090276781408e-05
"PNPLA2",2852.68729773394,-1.01898120096156,0.19603400081287,-5.19798196606853,2.01463667876988e-07,1.63960431241426e-05
"PCBP3",260.00443962855,-1.66299317635746,0.320121319663788,-5.19488417111376,2.04847340985012e-07,1.65916544889678e-05
"FZD8",188.888524037086,-2.32619350129669,0.448340239006416,-5.18845577290107,2.12045107266349e-07,1.70928551228798e-05
"AHCTF1",751.105304427395,-1.61210131407971,0.311579169328921,-5.17397012628235,2.29171481251574e-07,1.83858522968088e-05
"IFIT1",523.1567606485,1.50692330980868,0.291566243247229,5.16837372195693,2.36139755305689e-07,1.88555366878052e-05
"EOGT",2323.6907899013,-1.36088549193718,0.263445381740003,-5.16572157366666,2.39513104330252e-07,1.89483570792892e-05
"SORT1",7658.9127351646,-2.13455003894492,0.414515520833125,-5.14950570404395,2.61173831791851e-07,2.05634912770812e-05
"RASL10B",217.647759335709,-1.71961855985984,0.3345993541887,-5.13933615929828,2.75710772121025e-07,2.1517359902598e-05
"STC1",768.252684402563,-1.34766920280828,0.26223049912768,-5.13925423355162,2.75830995915866e-07,2.1517359902598e-05
"DCXR",577.845585841766,-1.88297319062869,0.366618038202297,-5.13606258945089,2.80554255653834e-07,2.17854240353583e-05
"MARCKS",9433.3309648736,1.09497534710548,0.213575388618146,5.1268798066579,2.9458344586051e-07,2.27703587740946e-05
"PXDC1",2131.83395419206,-1.4571461851535,0.285188885687789,-5.10940733766433,3.23170938500209e-07,2.47718562778194e-05
"TRPC6",825.548660913792,-1.79563816336721,0.351447024219557,-5.1092712119407,3.23403842001305e-07,2.47718562778194e-05
"FAM46B",117.855503507033,-2.40402466780735,0.471420200835774,-5.09953681141642,3.40485649819411e-07,2.59627976583017e-05
"PCYT2",566.723416797237,-1.20076335038965,0.235610821273628,-5.09638455440524,3.46201520850809e-07,2.6280266120908e-05
"PPP1CB",7877.69360128575,-1.19353816080902,0.234470437089522,-5.09035670178464,3.57390570839968e-07,2.70085159963347e-05
"BDKRB2",8350.09677579439,1.90233731223798,0.373914511022426,5.08762633211601,3.6257285864047e-07,2.72783704491817e-05
"NYNRIN",3092.87415633316,1.26407956086986,0.248678623930781,5.08318544187262,3.71157012922672e-07,2.78006456405088e-05
"PTPRG",4158.99977573647,-1.06023864565975,0.208641182104931,-5.08163649651168,3.74196975924171e-07,2.79048740460105e-05
